Datum,Zeit in Stunden,Aktivität,Summe
12.10,1,Initialer Projekttreff,"167,5"
18.10,1,2. Teambesprechung,
18.10,2,Issues erstellen und Projekt bei mir einrichten,
25.10,"0,5",3. Teambesprechung,
25.10,"1,5",Manuel helfen Git und das Projekt einzurichten,
26.10,5,"Maven Build zum Laufen bringen, Maven Module erstellen, Rest schnittstellen anfangen, etc.",
01.11,1,Bisschen cleanup bei den modulen und weitere Abreit am rest interface (issue-19),
02.11,1,Teamtreffen und email Korresponenz die Tage davor.,
03.11,"0,5",Manuel in den aktuellen Programmierstand des Projekts einweißen,
07.11,"0,5",Cleanup von branches und gitignores,
07.11,"2,5",Arbeit an den Restschnittstellen. Vorallem post request. Helfen Manuel zeug zum Laufen zu bringen.,
07.11,"3,5",user context rest api fertig schreiben und kommentieren.,
08.11,1,"Cleanup stuff, extract superclass for rest interface",
10.11,"1,5","Kommunikation. Lesen von issues, start einlesen in Mongdb, branching.",
13.11,3,Über die woche verteilt Projektkommunikation und Recherche über MongoDB,
16.11,1,Temabesprechung,
16.11,2,"Branching, Issuemanagement und Getting startet dokument",
20.11,4,Database connection Zeuch,
21.11,2,Database anbindung und cleanups,
21.11,"1,5","Recherche zu mongodb und spreichern von daten, Methodenköpfe für Datanbankmethoden und codecleanups",
03.12,5,Database data zugriffsmethoden implementieren,
03.12,1,request handler implementieren,
06.12,1,teambesprechung,
10.12,3,Configurationsdateien updaten und erster snapshot erstellen,
10.12,2,"externalize strings and make maven eat them, for now.",
13.12,1,Teambesprechung und Kommunikation über die Woche,
18.12,3,"Information über mongo server und java script, einrichten vün robomongo und beifügen der setup.js",
19.12,"1,5",Lokaler mongo db server installieren und einrichten um darauf das probramm zu testen.,
20.12,1,Teambesprechung,
27.12,2,Javascript lauffähig machen,
04.01,4,In Resourcen einlesen initiale implementierung des rest interfaces. Kommunikation über die letzten wochen,
13.01,1,Manuel helfen beim html interface,
15.01,2,Resource Description erstellen.,
16.01,1,Conzeptüberlegung resourcemanagement,
16.01,"2,5",Create resource.,
16.01,2,rest des resource rest interface,
16.01,2,Rest interface für listings und resource descriptions,
17.01,1,teambesprechung,
19.01,"0,5",Besprechung Plakatinhalt,
20.01,1,merge client module,
20.01,3,"fix projekt structure, externalize strings, start testing.",
22.01,4,"Setup tomcat, deploy on tomcat, make server run on local tomcat.",
24.01,1,Teambesprechung,
24.01,1,move Messages.java and change server application path,
24.01,1,help manuel setup local application server,
24.01,"0,5",setup tomcat on laptop,
25.01,1,Projekt presentation and Q&A,
25.01,2,try to setup server with lukas,
25.01,5,help manuel with example,
26.01,4,pre media night fixing,
26.01,5,media night,
07.02,"1,5",teambesprechung,
08.02,1,rest interfecae setup zu super rest interface bewegen.,
08.02,1,create sample user context.,
09.02,1,"Kommunikation, kleine fixes und beheben einens Merge conflikts",
16.02,1,Projekttreffen,
20.02,1,Kontexte erstellen,
20.02,4,test and fix database connection,
21.02,2,Listing klasse updaten,
22.02,2,Listing rest und listing manager fixen,
22.02,1,planeuml intallieren und einarbeiten. Generieren von umls aus code als startpunkt,
23.02,1,leichte fixes an den umls + moduldiagramm,
23.02,"1,5",Teambesprechung,
23.02,"0,5",recherche zu java config dateien,
24.02,2,Versuch mongoconfig zum laufen zu bekommen.,
24.02,"1,5","loöschen von web modul, einstellen von server als deploymentmodul, erstellen von mongo config file",
25.02,"1,5",cleanup der uml diagramme,
25.02,2,"add fileds to uml, little fixes",
26.02,6,Großteil der Doku,
26.02,"1,5",finish docu excapt intoduction,
26.02,"0,5",finish docu,
26.02,"0,5",cleanup docu,
27.02,1,little cleanups,
27.02,1,Erstellen der Folien für die Abschlusspräsentation,
28.02,"0,5",Korrespondenz und git merging,
01.03,"0,5",Teambesprechung,
03.03,"2,5",helping manuel with resource manager,
07.03,1,manuel bei multi part zeug helfen,
07.03,2,tests für rest interface schreiben,
08.03,1,build rest test interface,
08.03,"1,5", fix text escetution of rest tests,
09.03,6,test and fix file upload,
09.03,1,finish presentation,
10.03,4,"Stuff pre presentation (cleanups, presenteationsüberarbeitung, doku, manuel mit zeuch hefen)",
10.03,1,Präsentation,
11.03,2,erweiterung der rest tests,
11.03,2,add mime type checking und video konzept ausarbeitung mit manuel,
11.03,"5,5",resource mime type storage,
